NAME,POS,3PM,REB,AST,STL,BLK,TO,PTS,,,,,,,,,,,,,,,,,,,,,
Alex Len,,0.6,5.7,1.1,0.4,1,1.9,10.5,,,,,,,,,,,,,,,,,,,,,
Bobby Portis,,0.8,10,2,0.5,1,1.3,10.5,,,,,,,,,,,,,,,,,,,,,
Shai Gilgeous-Alexander,,0.4,3.2,2.9,0.9,0.7,1.9,10.4,,,,,,,,,,,,,,,,,,,,,
Gordon Hayward,,1.1,5.5,3.2,1.3,0.3,1.3,10.3,,,,,,,,,,,,,,,,,,,,,
D.J. Augustin,,1.7,2.1,5.1,0.5,0,1.1,10.3,,,,,,,,,,,,,,,,,,,,,
J.J. Barea,,0.8,2.3,5.7,0.5,0.1,1.6,10.3,,,,,,,,,,,,,,,,,,,,,
Trevor Ariza,,2.1,5.8,3.4,0.9,0.4,1.5,10.3,,,,,,,,,,,,,,,,,,,,,
Quinn Cook,,1.6,2.5,2.3,0.4,0,1.2,10.2,,,,,,,,,,,,,,,,,,,,,
Markieff Morris,,1.3,4.4,2,0.5,0.7,1.3,10.2,,,,,,,,,,,,,,,,,,,,,
Shelvin Mack,,1.3,2.3,3.6,1.1,0.1,1.2,10.2,,,,,,,,,,,,,,,,,,,,,
Wayne Ellington,,2.7,2,1.6,1.3,0.3,0.9,10.1,,,,,,,,,,,,,,,,,,,,,
Damyean Dotson,,1.3,4.5,1.1,0.9,0.1,0.7,10.1,,,,,,,,,,,,,,,,,,,,,
Josh Hart,,2,3.8,1.1,1.2,0.7,1.1,10.1,,,,,,,,,,,,,,,,,,,,,
Thaddeus Young,,0.2,5.3,1.4,1.3,0.4,1.2,9.9,,,,,,,,,,,,,,,,,,,,,
Ish Smith,,1.2,2.1,3.1,0.6,0.3,1.1,9.9,,,,,,,,,,,,,,,,,,,,,
Patty Mills,,1.8,3.1,2.4,0.8,0.2,1.1,9.8,,,,,,,,,,,,,,,,,,,,,
Danny Green,,2.6,3.8,1.3,1.2,0.7,1.2,9.7,,,,,,,,,,,,,,,,,,,,,
Iman Shumpert,,1.9,3.3,1.8,1.3,0.3,0.6,9.7,,,,,,,,,,,,,,,,,,,,,
Elfrid Payton,,0.5,5.2,5.3,0.8,0.2,2,9.7,,,,,,,,,,,,,,,,,,,,,
Marco Belinelli,,1.4,1.8,1.8,0.7,0.2,0.7,9.7,,,,,,,,,,,,,,,,,,,,,
Cody Zeller,,0.1,5.6,2,0.7,0.7,1.1,9.5,,,,,,,,,,,,,,,,,,,,,
OG Anunoby,,1.4,2.4,0.6,0.8,0.3,0.6,9.5,,,,,,,,,,,,,,,,,,,,,
Tony Parker,,0.3,1.8,4.2,0.3,0.1,1.1,9.4,,,,,,,,,,,,,,,,,,,,,
Fred VanVleet,,1.3,2.4,4.6,0.7,0.1,1.3,9.3,,,,,,,,,,,,,,,,,,,,,
Rondae Hollis-Jefferson,,0.1,5.6,1.6,0.8,0.6,1.1,9.3,,,,,,,,,,,,,,,,,,,,,
Nicolas Batum,,1.5,5.8,3.6,1,0.5,2,9.2,,,,,,,,,,,,,,,,,,,,,
Langston Galloway,,1.8,2.8,1.5,0.3,0.1,0.5,9.1,,,,,,,,,,,,,,,,,,,,,
Dorian Finney-Smith,,1.6,4,0.8,0.9,0.6,1,9,,,,,,,,,,,,,,,,,,,,,
Kris Dunn,,1,4,7,0,0,4,9,,,,,,,,,,,,,,,,,,,,,
Monte Morris,,0.9,2.6,3.9,0.8,0.1,0.6,9,,,,,,,,,,,,,,,,,,,,,
Dwight Powell,,0.3,3.7,1,0.8,0.6,0.8,8.9,,,,,,,,,,,,,,,,,,,,,
Justise Winslow,,0.9,5.4,3.6,0.9,0.4,2,8.9,,,,,,,,,,,,,,,,,,,,,
Darren Collison,,0.7,2.1,4.2,1.4,0.2,1.4,8.9,,,,,,,,,,,,,,,,,,,,,
Zach Collins,,0.8,4.2,0.9,0.3,1.1,1.5,8.9,,,,,,,,,,,,,,,,,,,,,
JaMychal Green,,0.8,6.8,1.2,1,0.8,1.8,8.8,,,,,,,,,,,,,,,,,,,,,
DeMarre Carroll,,1.1,4.6,0.9,0.2,0.1,1.2,8.7,,,,,,,,,,,,,,,,,,,,,
Michael Kidd-Gilchrist,,0.2,5.9,1.4,0.2,1.3,0.6,8.6,,,,,,,,,,,,,,,,,,,,,
Dewayne Dedmon,,0.6,6.8,0.5,0.5,1.5,0.9,8.5,,,,,,,,,,,,,,,,,,,,,
Evan Turner,,0.2,5,4.3,0.8,0.3,1.9,8.5,,,,,,,,,,,,,,,,,,,,,
Juancho Hernangomez,,1.6,5.1,0.8,0.4,0.4,0.8,8.5,,,,,,,,,,,,,,,,,,,,,
Stanley Johnson,,1.3,4.1,1.4,1.1,0.1,1.5,8.5,,,,,,,,,,,,,,,,,,,,,
Rajon Rondo,,0.8,4.5,6.5,1.2,0,2.3,8.5,,,,,,,,,,,,,,,,,,,,,
Al-Farouq Aminu,,1.4,8.4,0.4,1,0.5,0.8,8.4,,,,,,,,,,,,,,,,,,,,,
PJ Tucker,,2.2,5.6,1.1,1.2,0.5,0.9,8.4,,,,,,,,,,,,,,,,,,,,,
Noah Vonleh,,0.7,8.5,1.8,0.7,1,1.3,8.4,,,,,,,,,,,,,,,,,,,,,
James Ennis III,,1.5,2.4,0.6,1,0.4,0.6,8.4,,,,,,,,,,,,,,,,,,,,,
Allen Crabbe,,1.9,3.3,0.9,0.5,0.4,1.1,8.3,,,,,,,,,,,,,,,,,,,,,
Lance Stephenson,,0.9,3.5,1.9,0.8,0.1,1.3,8.3,,,,,,,,,,,,,,,,,,,,,
Alec Burks,,0.9,1.4,1.1,0.4,0.3,0.7,8.3,,,,,,,,,,,,,,,,,,,,,
Kevin Knox,,1.2,2.5,0.4,0.5,0.4,1,8.2,,,,,,,,,,,,,,,,,,,,,
Lonzo Ball,,1.4,5.3,4.8,1.1,0.2,1.9,8.2,,,,,,,,,,,,,,,,,,,,,
Markelle Fultz,,0.2,3.7,3.1,0.9,0.3,1.3,8.2,,,,,,,,,,,,,,,,,,,,,
Terry Rozier,,1.3,4.1,2.1,0.7,0.3,0.6,8.1,,,,,,,,,,,,,,,,,,,,,
Mike Muscala,,1.5,4.3,1.2,0.3,0.4,1.1,8.1,,,,,,,,,,,,,,,,,,,,,
Isaiah Canaan,,1.4,2.6,3.4,0.7,0,1.6,8.1,,,,,,,,,,,,,,,,,,,,,
Mario Hezonja,,0.8,3.7,1.1,0.7,0.2,1.3,8.1,,,,,,,,,,,,,,,,,,,,,
DeAndre' Bembry,,0.7,4.7,2.3,1.3,0.7,1.5,8,,,,,,,,,,,,,,,,,,,,,
Josh Okogie,,0.9,3.9,1.1,1,0.4,1.2,8,,,,,,,,,,,,,,,,,,,,,
Kentavious Caldwell-Pope,,1.1,2.3,0.6,0.7,0.2,0.7,7.9,,,,,,,,,,,,,,,,,,,,,
Kelly Olynyk,,1.1,3.4,2,0.5,0.4,1.5,7.9,,,,,,,,,,,,,,,,,,,,,
