Name,POS,3PM,REB,AST,STL,BLK,TO,PTS
Marcin Gortat,C,0,7.9,1.5,0.5,0.7,1.2,8.9
Kyle Korver,SG,2.1,2.4,1.4,0.5,0.3,0.9,8.9
Rodney Hood,SG,2.4,3.1,2.2,0.9,0.2,1.8,18.9
Bam Adebayo,C,1.8,3.4,3.9,0.9,0.1,2.4,16.6
Allen Crabbe,SG,2.2,3.6,1.4,0.7,0.4,0.9,11.9
E'Twaun Moore,SF,0,6.1,1.5,0.6,0.7,0.8,7.3
Wilson Chandler,SF,0.9,3.8,1.4,0.4,0.3,0.9,7.9
Michael Porter Jr.,PF,0.8,3.3,1.5,0.7,0.3,0.9,7.8
Anthony Tolliver,PF,1.5,2.8,0.9,0.4,0.2,0.6,6.8
Marvin Williams,PF,1.5,4.7,1.1,0.7,0.5,0.7,9
T.J. McConnell,PG,0.2,2.2,3.6,1,0.1,1.2,4.7
Yogi Ferrell,PG,1.1,2,1.9,0.6,0.1,0.8,7.2
Trevor Ariza,SF,1.7,3.6,1.4,1.2,0.2,0.7,8.7
Kevin Knox,SF,0.4,5.8,2.1,1.1,0.8,1.9,16.3
Reggie Bullock,SF,1.7,5.4,1.3,0.7,0.2,0.6,9.5
Denzel Valentine,SG,1.6,4.1,2.4,0.7,0.1,1.1,8.6
Pascal Siakam,PF,0.7,5.1,1.9,0.8,0.7,0.9,8.5
Ersan Ilyasova,PF,1.2,4.7,1.1,0.7,0.3,0.9,9.4
Tyus Jones,PG,0.5,1.5,2.8,1.1,0.1,0.7,4.9
Mikal Bridges,SF,0.2,4.7,1.6,0.8,0.4,0.7,7
Stanley Johnson,SF,0.9,3.7,1.7,1.3,0.2,1.2,8.5
Dillon Brooks,SF,0.9,2.4,1.3,0.7,0.2,1.2,8.7
Shai Gilgeous-Alexander,PG,0.3,3.2,5.1,1.1,0.4,2.2,7
Marcus Morris,PF,1.1,3.7,1.3,0.5,0.2,0.9,10.4
Marco Belinelli,SG,0.7,2,1.5,0.8,0.2,1.2,10.5
Miles Bridges,SF,0.3,5.2,1.8,1.1,0.9,1.2,10.6
Joe Harris,SG,1.6,2.9,1.3,0.4,0.2,1,9.1
Jerome Robinson,SG,0.3,1.4,1.1,0.6,0.1,0.9,5.4
Jae Crowder,SF,1.4,3.5,1.3,0.8,0.3,0.8,9.8
Troy Brown Jr.,SG,1.1,3.7,1.9,1,0.4,1.6,8.8
Dion Waiters,SG,1.6,2.8,3.8,0.8,0.4,2,13.9
Mason Plumlee,C,0,5.8,2.1,0.7,1.1,1.4,7.5
Shabazz Napier,PG,1,2.1,1.9,1,0.2,1.2,8
Zhaire Smith,SG,0.2,1.9,1.3,0.6,0.2,1.1,6.3
Donte DiVincenzo,SG,0.6,1.9,2.6,0.8,0.4,1.1,6.1
David Nwaba,SF,0.9,2.1,1.8,0.9,0.2,1.1,7.2
Justice Winslow,SF,0.6,3.9,1.1,0.7,0.4,0.9,7.7
Dirk Nowitzki,PF,1.6,5.2,1.3,0.5,0.5,0.6,10.5
Lonnie Walker IV,SG,0.8,2.3,2.7,1.2,0.3,1.7,9
Kevin Huerter,SG,1.5,2.7,1.7,0.7,0.1,1.3,7.7
Wesley Matthews,SF,0.6,5.6,2.8,1.2,0.6,1.4,10.5
Josh Okogie,SG,0.7,2.1,2.2,0.8,0.3,1.7,5.6
Grayson Allen,SG,0.8,1.7,1.3,0.6,0.2,0.8,5.6
Kyle O'Quinn,C,0.8,2.7,2.1,1.1,0.2,1.2,11.3
Lance Stephenson,SG,0.7,4.2,1.5,0.6,0.1,1.3,7.8
Justin Holiday,SG,1.4,3.1,1.2,0.6,0.2,0.9,9
Alex Len,C,0,7.2,1.1,0.5,1.1,1.1,9.9
George Hill,PG,1.7,2.6,4.1,0.9,0.4,1.5,11.2
Chandler Hutchison,SG,1.2,5.1,1.8,0.9,0.5,1.6,8.8
Aaron Holiday,PG,0.8,1.9,3.7,1.1,0.1,1.8,8.3
Anfernee Simons,SG,0.6,2.1,2.4,0.7,0.2,1.2,7.2
Moritz Wagner,PG,0.8,4.1,0.9,0.2,0.4,1.2,5.8
Landry Shamet,PG,0.5,1.1,2.3,0.4,0.1,1,3.8
Tristan Thompson,C,0.1,5.1,1.4,0.4,1.2,0.9,6.7
John Henson,C,0,8.7,0.9,0.5,0.8,1.1,8.2
Bismack Biyombo,C,0,5.7,0.8,0.3,1.4,1.1,6.5
Kosta Koufos,C,0,6.1,0.8,0.5,1.3,1,7.7
Jakob Poeltl,C,0,6.2,0.9,0.6,0.6,0.8,6.6
Cody Zeller,C,0,5.8,1,0.7,1.4,1.2,8.8
Robert Williams,PF,0,4.2,0.5,1.1,0.6,1.1,5.9
Jacob Evans,SF,0.4,2.4,0.8,0.5,0.2,0.5,5.6
Dzanan Musa,SF,1.1,2.6,1.4,0.4,0.3,1.1,8.3
Darius Miller,SF,1.3,1.8,1.2,0.5,0.2,0.8,5.9
Josh Hart,SG,1.7,4.5,1.7,0.8,0.4,1.2,11
Mario Hezonja,SF,1.6,5.1,2.2,1.3,0.3,1.7,13.2
CJ Miles,SF,1.9,2.1,0.6,0.4,0.2,0.5,9.2
Dragan Bender,PF,1.2,3.2,1.1,0.3,0.5,1,5.5
Omari Spellman,PF,0.9,3.7,0.7,0.5,0.7,0.9,6.3
Elie Okobo,PG,1.1,2.9,4.9,1.1,0.2,2.9,10.1
Jerami Grant,SF,0.8,5.2,2.1,1.1,1.9,1.4,12.1
Jahlil Okafor,C,0,3.8,0.8,0.3,1,1.5,9.3
Jamal Crawford,SG,1.4,1.3,2.2,0.6,0.1,1.3,10.9
