Name,POS,3PM,REB,AST,STL,BLK,TO,PTS,,,,
Marco Belinelli,,1.7,2,2,0.7,0,1,9,,,,
Collin Sexton,,0,2.3,1,0,0,2,9,,,,
Boban Marjanovic,,0,3.5,0,0,0,0.8,8.8,,,,
Michael Kidd-Gilchrist,,0,5.8,2.3,0.3,2.5,1.3,8.8,,,,
Ersan Ilyasova,,1,6.7,0.7,0.3,0.3,1,8.7,,,,
Rodions Kurucs,,1.3,4,0.3,0,0,1.7,8.7,,,,
Shai Gilgeous-Alexander,,0.3,3.5,3.5,0.8,0.5,2.5,8.5,,,,
Willy Hernangomez,,0.5,5.8,1,0.8,0,1.5,8.5,,,,
Terry Rozier,,1.5,4,1.8,0.3,0.3,0.5,8.5,,,,
Jonathan Isaac,,1.3,7.3,0.3,1,0.3,1,8.5,,,,
Maxi Kleber,,1.7,3.7,0.3,0,0.7,0.3,8.3,,,,
Carmelo Anthony,,1,6.7,0.7,0.3,0.3,1.7,8.3,,,,
Vince Carter,,1.7,1.3,1,0.3,0.3,1,8.3,,,,
Bam Adebayo,,0,7.7,0.7,0.3,0.7,1.7,8.3,,,,
Cory Joseph,,1,3.3,3.5,1,0.5,1.8,8.3,,,,
Zach Collins,,0.7,5.3,0.7,0.3,2.7,1.7,8,,,,
Amir Johnson,,0,4,1.5,0.3,0.3,1.3,8,,,,
Johnathan Williams,,0,4,1,0,3,0,8,,,,
Shelvin Mack,,0.7,2.3,2.3,1,0,1.3,8,,,,
Pau Gasol,,1,5,3.7,0,0,0.3,8,,,,
Gerald Green,,1.7,2.3,0.3,0.7,0.3,0.7,8,,,,
Austin Rivers,,1,1.3,2.3,0.3,1,0.7,8,,,,
D.J. Augustin,,1,2,5.8,0.3,0,1.5,8,,,,
Noah Vonleh,,0,8.5,1.8,0,0.8,0.5,8,,,,
Kenneth Faried,,0,2,0,1,0,1,8,,,,
Pascal Siakam,,0.5,5.5,2,0.3,0.5,1.5,7.8,,,,
Josh Jackson,,1,1.7,2,0,1,2.7,7.7,,,,
John Henson,,0.7,8,0.3,0.3,2,1.7,7.7,,,,
Cameron Payne,,0,2,3.7,0.3,0,1.3,7.7,,,,
Aron Baynes,,1,5,1,0,0.3,0.7,7.7,,,,
Jonathon Simmons,,0.3,4,1,0,0.3,1,7.7,,,,
Davis Bertans,,2.3,2,2,0.3,0.3,0.3,7.7,,,,
OG Anunoby,,1,3,0.5,0.5,0.3,1,7.5,,,,
JaMychal Green,,0.5,6,2,2,0,2,7.5,,,,
Trey Lyles,,0,4.8,1.8,1,0.3,3,7.5,,,,
Allen Crabbe,,1.5,3.5,0,0,0.5,2,7.5,,,,
Marvin Williams,,1.3,5.3,0.8,0.3,1.8,0.8,7.5,,,,
Omri Casspi,,0,2.5,1.5,0.5,0,0,7.5,,,,
Miles Bridges,,1,3.7,1.7,0.3,0.3,1,7.3,,,,
Kevon Looney,,0,5,1.5,0.5,1,1,7.3,,,,
Dwayne Bacon,,1,0,1,0,0,0,7,,,,
Kelly Olynyk,,0.7,2.7,1,0,0.7,0.7,7,,,,
Darren Collison,,0.5,2.3,4.3,1,0,2,7,,,,
Shaun Livingston,,0,3,1.5,1,0,1,7,,,,
Mason Plumlee,,0,4.8,1.5,1.3,0.8,1.5,7,,,,
Grayson Allen,,1,0,0,0,0,0,7,,,,
Jonas Jerebko,,1.3,4,1,0.5,0,1,7,,,,
Lance Stephenson,,0.3,3,2.3,0.3,0,1,7,,,,
